english_Name,sanskrit_Name,meditation_Type,url,name,instructions,updated_name
Ganesha Mudra,,Yoga Mudras,https://www.yogajournal.com/poses/ganesha-mudra/,Ganesha Mudra,"['Ganesha', '=\xa0the Hindu deity who removes obstacles', 'mudra', '= seal', 'Step 1', 'Bring your palms to touch in', 'Anjali Mudra', '.', 'Step 2', 'Then swivel your hands so that your fingertips point toward opposite elbows, with your right palm facing your heart.', 'See also', '4 Mudras to Add More Meaning to Your Practice', 'Step 3', 'Bend your fingers and slide your hands across each other until your fingers lock.', 'Step 4', 'Repeat on the other side.', 'See also', 'Foster Aparigraha (Non-Grasping) on the Mat']",Ganesha Mudra
I-Want-It-So-Badly Meditation,Dhyana,Meditation,https://www.yogajournal.com/poses/i-want-it-so-bad-meditation/,I-Want-It-So-Badly Meditation,"['Step by Step', 'Step 1', 'Bring your desire fully into awareness. Notice the words associated with it.', 'Step 2', 'Pay special attention to the emotional quality of the desire and the thoughts you have about it. Notice the emotional state it induces. Are you excited, uncomfortable, nervous, anxious, elated?', 'Step 3', 'Once you’ve identified the desire and how it makes you feel, ask yourself the following helpful questions:', 'How does this desire fit in with my greater priorities?', 'Is it beneficial to other people as well as to myself?', 'Will following this impulse hurt me or others?', 'What will I have to give up if I follow this desire?', 'Does it take me closer to my higher Self, or will it create more barriers between my soul and myself?', 'What will I have to give up if I don’t follow it?', 'What do I really want by getting what I want?', 'Step 4', 'After you’ve figured out what you really want, voice it. Articulate it. Make it real. Even if it’s something vague, like “to be happy,” you can still make it an intention. You might say, “My intention is to experience happiness in an intimate relationship.” Or, “My intention is to experience happiness at work.” Or, “My intention is to be happy no matter what is going on in my life.”']",I-Want-It-So-Badly Meditation
Life Force Seal,Prana Mudra,Yoga Mudras,https://www.yogajournal.com/poses/prana-mudra/,Life Force Seal,"['prana', '= life force', 'mudra', '= seal', 'Step 1', 'Extend your arms forward and bring the thumb, ring, and pinky fingers of each hand to touch.', 'Step 2', 'Lengthen the index and middle fingers.', 'See also', '4 Mudras to Add More Meaning to Your Practice']",Life Force Seal
Lion Pose,Simhasana,Pranayama Exercises & Poses,https://www.yogajournal.com/pranayama/lion-pose/,Lion Pose,"['(sim-HAHS-anna)', 'simha = lion', 'Step by Step', 'Step 1', 'Kneel on the floor and cross the front of the right ankle over the back of the left. The feet will point out to the sides. Sit back so the perineum snuggles down onto the on the top (right) heel.', 'Step 2', 'Press your palms firmly against your knees. Fan the palms and splay your fingers like the sharpened claws of a large feline.', 'Step 3', 'Take a deep inhalation through the nose. Then simultaneously open your mouth wide and stretch your tongue out, curling its tip down toward the chin, open your eyes wide, contract the muscles on the front of your throat, and exhale the breath slowly out through your mouth with a distinct “ha” sound. The breath should pass over the back of the throat.', 'Step 4', 'Some texts instruct us to set our gaze (', 'drishti', ') at the spot between the eyebrows. This is called “mid-brow gazing” (', 'bhru-madhya-drishti; bhru', '= the brow;', 'madhya', '= middle).Other texts direct the eyes to the tip of the nose (', 'nasa-agra-drishti; nasa', '= nose;', 'agra', '= foremost point or part, i.e., tip).', 'Step 5', 'You can roar two or three times. Then change the cross of the legs and repeat for the same number of times.']",Lion Pose
Lotus Seal,Padma Mudra,Yoga Mudras,https://www.yogajournal.com/poses/padma-mudra/,Lotus Seal,"['padma', '= lotus', 'mudra', '= seal', 'Step 1', 'Bring your hands softly into Anjali Mudra in front of the heart center.', 'Step 2', 'Slowly unfurl your hands like a lotus flower blossoming open. Keep the base of the hands together, along with the thumbs and little fingers. Allow the index, middle, and ring fingers to gently open.', 'See also', 'Magic Takes Guts: 3 Mudras to Keep You ‘Turned On’ Spiritually']",Lotus Seal
Loving Your Enemies Meditation,Dhyana,Meditation,https://www.yogajournal.com/poses/loving-your-enemies-meditation/,Loving Your Enemies Meditation,"['This meditation will take anywhere from five to 20 minutes, or even longer if you wish. We recommend staying in Steps 1 and 2 for one to two minutes each; in Step 3 for three to five minutes; and in Step 4 for five to 15 minutes.', 'Step by Step', 'Step 1', 'Get into a comfortable, seated position, either in a chair with your legs uncrossed, or on the floor. Adjust your posture so that your spine is upright, yet your body feels relaxed. Rest your hands in your lap or on your thighs, with the palms facing up or down.', 'Step 2', 'Close your eyes and bring your attention to your breathing. Take a few conscious and deep abdominal breaths. Let your exhalations carry out any tension or anxiety you’re feeling now, and use them throughout your meditation to expel any tension or anxiety that comes up.', 'If it is helpful, you may use the affirmations—”I am” on the in-breath and “calm and relaxed” on the out-breath—to center yourself during this practice.', 'Step 3', 'Bring your awareness to your heart. Allow your breaths to massage this area. Notice any specific feelings or thoughts you may have about yourself, people you know, or any particular event. Cultivate a detached and nonjudgmental attitude to anything that comes up for you.', 'Step 4', 'Continue to focus on the heart area while doing the following:', 'Cultivate a friendly and accepting attitude toward yourself and your friends.Develop feelings of compassion and understanding for all those who suffer.', 'Be joyful in your thoughts about a particular person who’s important to you or a saint or guru you hold in high esteem.', 'Maintain feelings of indifference and equanimity to anyone who has harmed you or anyone else. Don’t get sucked into their mean-spiritedness or harmful deeds.', 'To complete your meditation, take three to five deep abdominal breaths. Open your eyes and slowly get up.']",Loving Your Enemies Meditation
Meditation Seal,Dhyana Mudra,Yoga Mudras,https://www.yogajournal.com/poses/dhyana-mudra/,Meditation Seal,"['dhyana', '= meditation', 'mudra', '= seal', 'Step 1', 'Bring your hands to the contemplative gesture of Dhyana Mudra by resting them, upturned, at your navel with the right hand on top.', 'Step 2', 'Bring the thumbs together to touch at the tips, forming a triangle.', 'See also', 'Practice Svadhyaya (Self-Study) On the Mat']",Meditation Seal
Net-Bearer Bond,Jalandhara Bandha,Yoga Bandha,https://www.yogajournal.com/poses/net-bearer-bond/,Net-Bearer Bond,"['(jah-lahn-DHA-rah bahn-dah)', 'jala = net (for catching birds or fish)', 'dhara = bearing, supporting', 'bandha = bond', 'Step by Step', 'Step 1', 'Sit in a comfortable pose.', 'Step 2', 'Firm your shoulder blades against your back torso to lift your sternum. Be careful not to push your front ribs forward.', 'Step 3', 'Full Jalandhara requires the chin to rest comfortably on the sternum (neck flexion). Many beginners make the mistake of only lowering the chin; in fact your chin should be met half-way by the elevated sternum.', 'Step 4', 'The focus of these complementary movements is the “crook” of the throat, where the underside of the chin meets the front of the neck. Draw this crook diagonally up and into your skull (toward the top of your spine). Your head should pivot and your chin should descend over this action, which simultaneously draws the top of the sternum upward.', 'Step 5', 'Work on lengthening the back of your neck, releasing your shoulders, and opening your chest in poses like Sarvangasana and', 'Setu Bandha Sarvangasana', '.', 'Never', 'force your chin to your sternum.', 'Step 6', 'If you’re a beginner,', 'don’t', 'hold this bandha continuously throughout your practice. Begin your inhalation with your head upright. Apply Jalandhara as you near the end of the inhale, hold during the retention and the exhale, then raise your head to a neutral position for the next inhale.']",Net-Bearer Bond
Practice Enlightenment Meditation,Dhyana,Meditation,https://www.yogajournal.com/poses/practice-enlightenment-meditation/,Practice Enlightenment Meditation,"['This practice is adapted from the Vijana Bhairava, an ancient and very powerful Sanskrit meditation text.', 'Step by Step', 'Step 1', 'Sitting quietly, begin to become aware of the part of you that is aware. Something in you knows that you’re alive, that you’re breathing, that you’re thinking. It’s subtle and hidden, but that witnessing part of you is the basis of everything you experience.', 'Step 2', 'Next, think of a loved one. Bring to mind someone to whom you feel close and think to yourself, “With all of our differences of personality and history, we both share consciousness. At the most fundamental level, the level of awareness, we are one.” If that seems too abstract, consider, “Like me, this person seeks happiness. This person too feels pain.” The more you can identify yourself with awareness, and recognize the awareness in the other person, the more deeply you will feel kinship.', 'Step 3', 'Now think of an acquaintance. Bring to mind someone about whom you feel neutral, and have the same recognition: that there is one consciousness in both of you.', 'Step 4', 'Think of an enemy. Bring to mind someone you dislike, perhaps someone you regard as an enemy, or a public figure you hold in low esteem. Remind yourself, “Different as we may be, the same consciousness dwells in that person as in me. On the level of awareness, we are one.”', 'Step 5', 'Feel the energy. Expand this idea to include the physical world, and allow yourself to contemplate the fact that a single energy underlies everything in the universe. On the level of subatomic particles, everything you see and feel is part of one great energy soup. With that in mind, look around and say to yourself, “All that I see, all that I touch, all that I imagine, is made of one single conscious energy.”', 'Step 6', 'Hold that thought. Questions will come up—and they’re worth exploring. However, there is great power in simply holding the thought, “All this is one consciousness,” as a mantra, and then trying to see the world that way. See how the thought of oneness softens the edges of your judging mind. Find out whether it eases feelings of frustration, anxiety, and fear. Notice how it tends to bring up feelings of peace.', 'Step 7', 'After you’ve practiced this contemplation a few times, try taking it into your world. Look at the angry driver in the lane next to you, or the sad woman on the bus, and think, “The same consciousness is in that person as in me.” Or see the person on TV whose politics you disagree with and think, “The same consciousness is in that person as in me.”', 'Step 8', 'As these practices become part of your life, look for different ways to recognize that kinship of consciousness—be recognizing the light in the eyes of an animal, or the living sap in a tree. As you do, keep observing the effect it has on you. When you notice that you’re feeling more connected or more open, honor those feelings. Know that you are experiencing some of the qualities of the enlightened state of being.']",Practice Enlightenment Meditation
Root Bond,Mula Bandha,Yoga Bandha,https://www.yogajournal.com/poses/root-bond/,Root Bond,"['(moo-lah bahn-dah)', 'mula', '= root (of any tree, but also figuratively the lowest part of anything)', 'bandha', '= bond', 'Step by Step', 'Step 1', 'Students are typically instructed to contract, to a greater or lesser degree, the (perineal) muscles at the base of the pelvis. THIS SHOULD NOT BE ATTEMPTED WITHOUT THE GUIDANCE OF AN EXPERIENCED TEACHER. Here we’ll simply approximate Mula Bandha.', 'Step 2', 'Learn Mula Bandha in', 'Virasana (Hero Pose)', '. Contact the “tripod” at the base of your pelvis which consists of three bones: the tail bone (coccyx) and the two heads of the thigh (femur) bones. Your coccyx should imaginatively lengthen down and through the floor. Your femur heads should similarly sink down and through the floor (if you can’t imagine this lay a sand bag across each top thigh). Finally with your hands, press your hip points together, narrowing them toward each other.', 'Step 3', 'The combined actions of the bones will firm without hardening your lower belly, and spontaneously dome your perineum up into your torso without any conscious effort on your part. This latter action will in turn charge your spine, which will lift and lengthen your entire torso up through your crown.', 'Step 4', 'Apply Mula Bandha as you end your inhale, then hold it during', 'Kumbhaka', '. Slowly release it as you exhale, and soften it during the pause following the exhale.']",Root Bond
Salutation Seal,Anjali Mudra,Yoga Bandha,https://www.yogajournal.com/poses/salutation-seal/,Salutation Seal,"['(ON-jol-ly MOO-drah)', 'anjali', '= a gesture of reverence, benediction, salutation (from', 'anj,', '“to honor, celebrate”)', 'mudra', '= seal (The gesture “seals” energy in the body and “seals” your relationship with the Divine.)', 'This gesture is also known as', 'Hrdayanjali Mudra', '(pronounced hri-DIE-ahn-jah-lee,', 'hrd', '= heart), the Reverence to the Heart Seal, or Atmanjali Mudra (OT-mon-JAH-lee,', 'atman', '= self, derived variously from', 'an,', '“to breathe,”', 'at,', '“to move,” or', 'va,', '“to blow”), Reverence to the Self Seal', 'Step 1', 'Sit comfortably in Siddhasana (as shown) or stand in', 'Tadasana', '. Inhale and bring your palms together. Rest the thumbs lightly on your sternum.', 'Step 2', 'Press the hands firmly but evenly against each other. Make sure that one hand (usually your right hand if you are right-handed, your left if left-handed) doesn’t dominate the other. If you find such imbalance, release the dominant hand slightly but don’t increase the pressure of the non-dominant hand.', 'Step 3', 'Bow your head slightly, drawing the crease of the neck toward the center of your head. Lift your sternum into your thumbs and lengthen down along the back of the armpits, making the back elbows heavy.', 'Step 4', 'Practicing Anjali Mudra is an excellent way to induce a meditative state of awareness. Start your practice sitting in meditation in Anjali Mudra for 5 minutes. You can also use this hand position in', 'Tadasana', 'prior to beginning the', 'Sun Salutation sequence', ', contemplating the “sun” or light of awareness the yogis say is resident in your heart.', 'See also', 'Meet in the Middle: Anjali Mudra']",Salutation Seal
Self-Inquiry Meditation,Dhyana,Meditation,https://www.yogajournal.com/poses/self-inquiry-meditation/,Discover Your True Nature: Self-Inquiry Meditation,[],Self-Inquiry Meditation
Single Nostril Breath,Surya Bhedana Pranayama,Pranayama Exercises & Poses,https://www.yogajournal.com/pranayama/single-nostril-breath/,Single Nostril Breath,"['(soor-yah beh-DAH-na)', 'surya', '= sun', 'bhedana', '= piercing', '(chahn-drah)', 'chandra', '= moon', 'Step by Step', 'Step 1', 'Our right nostril is energetically associated with our body’s heating energy, symbolized by the “Sun” and the syllable HA, our left nostril with our body’s cooling energy, symbolized by the “Moon” and the syllable THA.', 'Step 2', 'In the average person these energies are typically in conflict, which leads to disquiet and disease. The goal of traditional Hatha Yoga is to integrate and harmonize HA and THA for happiness and health. The purpose of these two breaths then is to create balance by “warming” a “cool” body-mind and vice versa.', 'Step 3', 'Sit in a comfortable asana and make Mrigi Mudra. For Surya Bhedana block your left nostril and inhale through your right. Then close the right and exhale through the left. Continue in this manner, inhale right, exhale left, for 1 to 3 minutes.', 'Step 4', 'For Chandra Bhedana, simply reverse the instructions in (2), inhaling always through your left nostril, exhaling through your right. Again continue for 1 to 3 minutes.']",Single Nostril Breath
Skull Shining Breath,Kapalabhati Pranayama,Pranayama Exercises & Poses,https://www.yogajournal.com/pranayama/skull-shining-breath/,Skull Shining Breath,"['(kah-pah-lah-BAH-tee)', 'kapala = skull', 'bhati = light (implying perception, knowledge)', 'Step by Step', 'Step 1', 'Kapalabhati consists of alternating short, explosive exhales and slightly longer, passive inhales. Exhales are generated by powerful contractions of the lower belly (between the pubis and navel), which push air out of the lungs. Inhales are responses to the release of this contraction, which sucks air back into the lungs.', 'Step 2', 'Focus on your lower belly. Many beginners aren’t able to isolate and contract this area. If needed, cup one hand lightly in the other and press them gently against your lower belly.', 'Step 3', 'Now quickly contract (or pump your fisted hands against) your lower belly, pushing a burst of air out of your lungs. Then quickly release the contraction (or your hands), so the belly “rebounds” to suck air into your lungs. Pace yourself slowly at first. Repeat eight to 10 times at about one exhale-inhale cycle every second or two.', 'Step 4', 'As you become more adept at contracting/releasing your lower belly, you can increase your pace to about two exhale-inhale cycles every second. Imagine the exhale sweeping out or “brightening” the inner lining of your skull.', 'Step 5', 'Do 25 to 30 cycles at first. Gradually increase the number of cycles you do each practice to 100 or more.']",Skull Shining Breath
Truth Seal,Tattva Mudra,Yoga Mudras,https://www.yogajournal.com/poses/tattva-mudra/,Truth Seal,"['tattva', '= reality, truth', 'mudra', '= seal', 'Step 1', 'Turn palms face up.', 'Step 2', 'Bring each thumb to the base of the ring finger.', 'See also', '4 Mudras to Add More Meaning to Your Practice']",Truth Seal
