name,description,target_areas,benefits,preparatory_poses,followup_poses,instructions,variation,url,sanskrit_Name,pose_Type,Anatomies,alternate_name,position
feathered peacock pose,['You may know Pincha Mayurasana or Feathered Peacock Pose by one of its common aliases: Forearm or Elbow Balance.'],['Full body'],"['Feathered Peacock improves postural and body awareness, circulation (both lymphatic and venous), and your posture. It can boost energy and fight fatigue and build confidence and empowerment. Feathered Peacock mainly strengthens your core, back, chest, arms, shoulders, thighs, and buttocks (glutes).']",['Adho Mukha Svanasana (Downward-Facing Dog Pose)'],['Balasana (Child’s Pose)'],"['If you are new to this pose, practice against a wall for support. Start in Tabletop with your palms and forearms on the floor. Your forearms should be parallel to each other at shoulder width.', 'Bend one left knee and step that foot in, keeping the other leg active by extending through the heel. Take a few practice hops.', 'Sweep your active leg up while you kick your other foot off the floor, immediately pushing through the heel to straighten your leg. Try this several times, each time pushing off the floor a little higher.', 'Eventually you will be able to kick all the way up. You may crash into it at first, but with practice you’ll be able to swing your heels up lightly.', 'Stay in the pose 10 to 15 seconds, working your way up to 1 minute. When you come down, try not to sink into the shoulders, and remove one foot at a time.']","['To help build up strength and stamina for Feathered Peacock, practice', 'Dolphin Pose', '. On your hands and knees, bring your forearms to the ground with your fingers optionally interlaced. Lift your hips up and back. Relax your head and neck as you press your forearms into the floor. Stay for several breaths. Your heels may or may not reach the floor.']",https://www.yogajournal.com/poses/feathered-peacock-pose/,Pincha Mayurasana,"['Inversion Yoga Poses', 'Strengthening Yoga Poses']","['Spine', 'Shoulders', 'Arms', 'Lungs']",forearm balance,[]
reclining hand-to-big-toe pose i,"[""Oh, your aching back? Or maybe you can't crack those tight hamstrings. Supta Padangusthasana I or Reclining Hand-to-Big-Toe Pose I is for you.""]",['Lower body'],"['This pose stretches your hips, thighs, hamstrings, groins and calves.']",['Adho Mukha Svanasana (Downward-Facing Dog)'],['Standing poses'],"['Begin in a supine', 'Tadasana', '(Mountain Pose) with your feet at the wall and a bolster to the outside of your right hip.', 'Press your big toe mounds into the wall to encourage the neutrality of your legs.', 'Take a strap with a small loop, and place the loop around the ball of your right foot.', 'Press your right foot to the ceiling while using the wall to gently resist the movement with your left leg.', 'Manually descend your right hip down and in toward your left foot in order to bring symmetry back to your torso.', 'Hold for anywhere from a few breaths to a couple of minutes, then thread the long part of your strap behind your neck from right to left.', 'Hold the end of the strap with your left hand, and straighten your left arm out to the left, palm up, to make the strap taut.', 'Take an inhalation, then open your right leg out to the side for Supta Padangusthasana II (Reclining-Hand-to-Big Toe Pose II).', 'Use the bolster beneath your right outer thigh and left hand on the strap to control the opening so that the stretch of your inner thigh is neither sudden nor intense.', 'Keep using your left foot at the wall to gently maintain the resistance of your left thigh.', 'Hold for anywhere from a few breaths to a couple of minutes, then, use an exhalation to recommit to the rootedness of your left thigh, and on an inhalation, bring your right leg back to center.', 'Release, then repeat on the other side.']","['Use a strap to extend your reach. Bring the strap around the sole of your foot wherever comfortable. Hold the strap without straining. If you feel pain or sharp sensations around your knee, either lower your leg down closer to the floor, or slightly bend your knee. Sensations are safest when felt in the center of the back of your thigh (hamstring) or belly of the muscle, rather than in the joint. After taking several breaths with the foot in center above, you can bring your leg out to the side, opening your hips. Your leg may not go all the way to the ground as pictured, and that is OK. Simply bring your leg out to the side until you feel the stretching sensation shift to your inner thigh.']",https://www.yogajournal.com/poses/reclining-big-toe-pose/,Supta Padangusthasana,['Restorative Yoga Poses'],"['Hamstrings', 'Knees']",,
wide-angled seated forward bend,"['Upavistha Konasana (Wide-Angled Seated Forward Bend) gives you the benefit of an intense stretch of the upper and lower body, as well as the calming effects of forward folds.', 'While this pose seems to be all about the leg stretch, give equal attention to lengthening your spine—creating long lines—and avoiding collapsing inward and sacrificing alignment. Tight hamstrings can interfere with this lengthening, says yoga teacher', '.', '“The hamstrings attach to the ischial tuberosities (sitting bones), which are the bony points that you can feel through the flesh of your buttocks,” she explains. “When the hamstrings are short, they pull the back of the pelvis down, creating what is known as a posterior tilt. This happens when you tuck your pelvis and round your lower back. ”', 'Often times, the solution is to sit on a folded blanket. This elevates the hips, lessens the pull on the hamstrings and gives the spine more freedom to lengthen.']",['Lower Body'],"['Wide-Angled Seated Forward Bend lengthens the hamstrings and stretches the back, thighs and calves. It can increase mental calmness and decrease anxiety.']","['Paschimottanasana', '(Seated Forward Bend)']","['Supta Baddha Konasana', '(Reclining Bound Angle Pose)']","['Sit in', 'Dandasana', '(Staff Pose), sitting directly on top of your sitting bones.', 'Open your legs out to the sides as wide as you are able.\xa0 Flex your feet and point the toes up.', 'Press through your big toe mounds and root down with your femurs so the quadriceps are also facing the ceiling.', 'Inhale and lengthen your spine; exhale and hinge at your hips, walking your hands forward and bringing your torso to the floor between your legs.', 'Keep the back straight and avoid curving the spine.', 'To exit the pose, walk your hands back and return to Staff Pose.']","['Instead of trying to flatten your torso to the floor, lean forward into the pose as far as your hips allow without forcing.']",https://www.yogajournal.com/poses/wide-angle-seated-forward-bend/,Upavistha Konasana,"['Forward Bend Yoga Poses', 'Hip-Opening Yoga Poses', 'Seated Yoga Poses']",['Hamstrings'],,
pose dedicated to the sage marichi i,"['Marichyasana (Pose Dedicated to the Sage Marichi I) is the first of four poses dedicated to the sage within the', 'primary series. “Marichi” means ray of light (sun or moon) in Sanskrit and is one of the original seers (', ') or lords of creation (', ') that Brahma created.', 'This deep forward fold stretches your back, shoulders, and legs while extending your spine and giving your organs a cleansing squeeze. Like all forward folds, Marichyasana calms the mind and reduces stress. Add it in towards the end of your practice after you’ve already warmed up your hips, hamstrings, and shoulders. Avoid rounding your back as you fold and above all else, remember to breathe.']",['Lower body'],"['Pose Dedicated to the Sage Marichi I stretches your back, shoulders, and chest. For some yogis, it can also help relieve low back tightness and low back pain.']","['Uttanasana', '(Standing Forward Bend)']","['Upavistha Konasana', '(Wide-angle Seated Forward Bend)']","['Begin in', 'Staff Pose', '. Press forward with your big toe mounds, spin your inner thighs down, and root down with your thigh bones.', 'Make sure you are sitting directly on top of your sitting bones (rather than falling behind them).', 'Move your sacrum in and up toward your navel, while extending your sternum away from your navel to lengthen your front body.', 'Bend your right knee to draw your foot back. Your heel should be just in front of your right sitting bone.', 'Isometrically pull your right heel back to rock your pelvis slightly forward.', 'Let your right knee fall open slightly\xa0 and tilt your torso forward, so that it comes to the inside of your right thigh.', 'Reach your right hand forward and lengthen your torso. Pin your right knee back in toward your midline so that your inner right knee hugs your right outer shoulder.', 'Internally rotate your right arm, placing your right armpit against your right shin.', 'Keeping this connection, bend your right elbow and take your right arm behind your back.', 'Reach behind your back with your left arm to clasp your left wrist with your right hand.', 'Inhale. Reach your sternum forward to lengthen your front body.', 'Exhale. Hinge from your hips and fold forward to lengthen your back body.', 'Aim the crown of your head toward your toes, and release your shoulders away from your ears.', 'Hold for 10–12 breaths. Lift your torso and unwind your arms on an inhalation.', 'Return to Staff Pose, then repeat on the other side.']",[],https://www.yogajournal.com/poses/pose-dedicated-to-the-sage-marichi-i/,Marichyasana I,"['Binding Yoga Poses', 'Forward Bend Yoga Poses', 'Hip-Opening Yoga Poses', 'Seated Yoga Poses']","['Hamstrings', 'Kidneys', 'Hips']",,['sit']
shoulder-pressing pose,"['This arm balance relies more on precise positioning than on strength, making it more accessible for students beginning an arm balancing practice.']",[],"['Strengthens the arms and wrists', 'Tones the belly', 'Improves balance']","['Garudasana', '(Eagle Pose)', 'Malasana', '(Garland Pose)', 'Bakasana', '(Crane Pose)', 'Baddha Konasana', '(Bound Angle Pose)']","['Uttanasana', '(Standing Forward Bend)', 'Adho Mukha Svanasana', '(Downward-Facing Dog)', 'Urdhva Mukha Svanasana', '(Upward-Facing Dog)']","['Step 1', 'Squat with your feet a little less than shoulder width apart, knees wide.', 'See also', 'More Arm Balance Poses', 'Step 2', 'Tilt your torso forward between your inner thighs. Then, keeping your torso low, raise your hips until your thighs become close to parallel to the floor.', 'Step 3', 'Snug your upper left arm and shoulder as much as possible under the back of your left thigh just above the knee, and place your left hand on the floor at the outside edge of your left foot, fingers pointing forward. Then repeat on the right. As you do this your upper back will round.', 'Step 4', 'Press your inner hands firmly against the floor and slowly begin to rock your weight back, off your feet and onto your hands. As you straighten your arms, your feet will lift lightly off floor, not by raw strength but by carefully shifting your center of gravity.', 'Step 5', 'Squeeze your outer arms with your inner thighs, and cross your right ankle over your left ankle. Look straight ahead. Hold for 30 seconds, then bend your elbows and lightly release your feet back to the floor with an exhale.', 'Step 6', 'Repeat the pose a second time with the left ankle on top.', 'GO BACK TO A-Z POSE FINDER']",[],https://www.yogajournal.com/poses/shoulder-pressing-pose/,Bhujapidasana,['Arm Balance Yoga Poses'],"['Hands', 'Wrists', 'Arms', 'Flexors']",,[]
pose dedicated to the sage koundinya ii,"['Pose Dedicated to the Sage Koundinya II tones the belly and spine, strengthens the arms and wrists, and gives your self-confidence a big boost.']",[],"['Strengthens the arms and wrists', 'Tones the belly and spine']","['Supta Padangusthasana', 'Chaturanga Dandasana', 'Upavistha Konasana']","['Uttanasana', 'Adho Mukha Svanasana']","['Step 1', 'Start in', 'Adho Mukha Svanasana', ', hands shoulder width apart. Step your left foot far forward, past the outside of your left arm, and place it on the floor well in front of your left hand.', 'Step 2', 'Bend your left elbow and twist your torso to the right, dropping the left shoulder and the whole left side of the torso as low as possible on your inner left thigh. Pressing your thigh toward your torso, slide your left upper arm and shoulder as far as you can underneath the back of the left thigh just above the knee. Place the back of your thigh as high up as possible on the upper arm.', 'See also', 'Challenge Pose: Pose Dedicated to the Sage Koundinya II', 'Step 3', 'Keeping your weight centered approximately between your hands, start to creep your left foot forward along the floor so more and more of the weight of the leg comes onto the arm; let the left foot naturally move a little to the left as you do this. When you can’t walk the foot any farther forward without lifting it off the floor, straighten the knee as much as you can, powerfully reaching the foot forward and out to the left side.', 'More', 'Twist Poses', 'Step 4', 'Bending both elbows, shift your weight far forward between your hands until you can lift your back leg. Lift strongly until that leg is parallel to the floor; then, keeping the knee extended, press straight back through the ball of your foot.', 'More', 'Arm Balance Poses', 'Step 5', 'Lift your chest until your torso is parallel to the floor, pressing strongly down through your inner hands to help maintain this position.', 'Step 6', 'Lift your head and look forward, keeping your eyes and forehead soft. Breathe evenly. Hold the pose for 20 seconds or longer, then step back into', 'Adho Mukha Svanasana', '. Repeat it on the other side for the same length of time.', 'GO BACK TO A-Z POSE FINDER']",[],https://www.yogajournal.com/poses/pose-dedicated-to-the-sage-koundinya-ii/,Eka Pada Koundinyanasana II,['Arm Balance Yoga Poses'],"['Hands', 'Back', 'Wrists', 'Back', 'Shoulders', 'Arms', 'Flexors', 'Abs']",,
reverse plank,"['If you frequently practice', '(Sun Salutations) or take every vinyasa your teacher offers, you’ll develop a strong upper body—and possibly a muscle imbalance. That’s because all of those push-ups cause your chest and shoulders to become tighter and your back to become weaker. This can lead to injury—unless you incorporate poses like Purvottanasana (Reverse Plank or Upward Plank Pose) to counterbalance these actions.', 'While Chaturanga strengthens the front of your body, Upward Plank Pose stretches the front and strengthens the back. In fact, Purvottanasana asks you to engage just about every muscle in your body. Practiced correctly, you’ll stretch tight muscles in your shoulders, chest, and the front of your ankles, while strengthening your arms, wrists, and legs.', 'Practicing complementary poses will help you build strength that is balanced with flexibility—and help you continue to practice yoga safely and injury-free.']",['Full body'],"['Upward Plank Pose strengthens your arms, wrists, and legs, while stretching your shoulders, chest, and front ankles.']","['Marjaryasana', '(Cat Pose)']",['Ananda Balasana (Happy Baby Pose)'],"['Begin seated in', 'Dandasana (Staff Pose)', 'with your legs extended forward and your\xa0hands next to your hips, with your fingertips pointing forward.', 'Touch your big toes together and keep a small amount of space between your heels.', 'Flex your ankles to draw your toes toward your knees. Press forward with your big toe mounds.', 'Rotate your inner thighs down, and firm your outer ankles into your midline.', 'Lean back slightly, and slide your hands back about 8 inches.', 'As you inhale, move your shoulder blades in, and lift and open your chest.', 'As you exhale, point your feet, reach toward the floor with your big toe mounds, and lift your hips.', 'Press toward the floor with your big toe mounds. Rotate your inner thighs in and down while\xa0 you directing your buttocks toward the backs of your knees.', 'Press down with your hands to lift your thoracic spine toward your sternum and your sternum toward the ceiling. Inflate your chest.', 'Allow your head to drop back, making sure the curve of your neck is a continuation of the curve of your upper back', 'Hold for 5–10 breaths. Press into your feet and hands as you exhale; life your hips and chest as you inhale.', 'Release back to the floor.']","['Begin seated on the floor with your knees bent and your feet flat on the floor. Press your hands into the floor behind you (palms facing down and fingertips facing forward). Slowly begin to lift your hips and press your chest upward. Avoid dropping your head back. Instead, keep your neck in line with the rest of your spine (or chin may be tucked slightly). Hold for several breaths, then slowly release your hips back down as you draw your chin in toward your chest.']",https://www.yogajournal.com/poses/upward-plank-pose-2/,Purvottanasana,['Strengthening Yoga Poses'],"['Hands', 'Glutes', 'Neck', 'Wrists', 'Pelvis', 'Heart']",upward plank pose,[]
upward facing two-foot staff pose,"[""Can you practice Wheel with straight arms and Headstand without strain? Then, you're ready.""]",[],['Stretches the entire front body and opens the chest'],"['Urdhva Dhanurasana', 'Sirsasana', 'Purvottanasana']","['Adho Mukha Svanasana', 'Uttanasana', 'Marichyasana I']","['Step 1', 'Begin by preparing as you would for', 'Urdhva Dhanurasana', '(Upward Bow Pose). Lie on your back, feet on the floor, heels under the knees, and step your feet a little wider than your hips. Bend your arms and place your palms on the floor by your ears, fingertips facing the shoulders, shoulder-width apart. Pause for a moment to focus and tune in to your breathing.', 'See also', 'Master Class: Upward Facing Two-Foot Staff Pose', 'Step 2', 'As you exhale, press your knees away from your torso and lift your hips, shoulders, and head from the floor as you straighten your arms. Widen and draw your shoulder blades toward your tail bone to lift your shoulders and lighten the load on your arms.', 'Step 3', 'Bend your arms and place the crown of your head on the floor between your hands and feet, keeping your elbows shoulder-width apart and directly over your wrists. To ensure that your neck does not become compressed, exhale, press your hands into the floor, and again draw your shoulder blades toward your tail bone. Keep your chest open and lifted.', 'Step 4', 'On your next exhalation, slide one hand past your ear to cup the back of your head, bringing your weight onto your forearm. Repeat the same action with the other arm, interlacing your fingers behind your head (you may be more successful in these arm movements if you lift onto your tiptoes).', 'Step 5', 'With a powerful exhalation, press down through your inner elbows and wrists and lift your chest to raise your head off the floor. As your head lifts, press your inner heels down. Of course, your head may seem glued to the floor; if that’s the case, continue to hold the pose where you are.', 'See also', 'More Backbend Poses', 'Step 6', 'If you do manage to lift your head, the pose may actually become easier, since this movement allows your upper arms to directly support your weight, easing the demand on your muscles. But be careful not to strain the shoulder joints by pushing them beyond your elbows. Avoid this over extension by keeping your weight evenly distributed between your elbows and wrists, and by not allowing your elbows to slide more than shoulder-width apart. It is absolutely fine to remain in this position, with your head raised and your heels directly below your knees.', 'Step 7', 'In the full pose, however, you walk the feet away from your hands until your legs are nearly straight; then plant your inner feet and exhale as you stretch down through your calves and push to straighten the legs completely.', 'Step 8', 'Place the crown of your head back on the floor inside the cup of your hands, press your elbows into the floor and draw your shoulder blades toward your tail bone to help your shoulders stay lifted. Your middle back will be asked to extend more deeply.', 'See also', 'More Chest Opener Poses', 'Step 9', 'Come out of this asana with great attention. First, walk your feet back under your knees. Remain on your crown and return your palms to the floor next to your ears. Again check to make sure your hands are directly under your elbows. Push with your hands to lift the head and tuck your chin and tail bone in as you roll your spine back down to the floor, tail bone touching last. Consciously slow your breathing down until you are once again at rest and can feel the powerful calm that is the product of balanced backbends.', 'GO BACK TO A-Z POSE FINDER']",[],https://www.yogajournal.com/poses/upward-facing-two-foot-staff-pose/,Dwi Pada Viparita Dandasana,"['Chest-Opening Yoga Poses', 'Yoga Backbends']","['Glutes', 'Neck', 'Pelvis', 'Arms', 'Heart', 'Lungs']",,[]
warrior 3 pose,"['Virabhadrasana III (Warrior Pose 3) requires concentration and stamina to maintain a thoughtful calibration between push and pull—gathering energy in, and extending it out.', '“Virabhadrasana III asks us to stand grounded on one leg, rooted down into the earth, yet at the same time to lift the other leg and stretch horizontally from the tips of our toes to our fingertips, like a radiant star expanding into space,” says', 'Beryl Bender Birch. “But if we expand outward too much, we lose our power and balance.”', 'Focus on contracting, pulling in, and connecting with gravity, says Bender Birch. But don’t contract too much; if you hang on too tightly, you will lose expansion—and likely your balance, too. Alternate between expansion and contraction, and treat both with equal importance.', 'Virabhadrasana III (', ')', '= the name of a fierce warrior, an incarnation of Shiva, described as having a thousand heads, a thousand eyes, and a thousand feet; wielding a thousand clubs; and wearing a tiger’s skin.']",['Full-body strength'],"['Warrior III improves your balance and strengthens your core. On your standing leg, this pose stretches the back of your thigh (hamstring) and buttock (glute) while strengthening the front of your thigh (quadriceps) and ankle. On your lifted leg, this pose stretches\xa0the front of your hip (hip flexor), including the psoas, and strengthens the back of your thigh (hamstring) and buttock (glute).']","['Stretch your hips, your entire back body, and your shoulders prior to coming into Warrior III.']","['Tadasana (Mountain Pose)', 'Uttanasana (Standing Forward Bend)', 'Balasana (Child’s Pose)']","['Begin in', 'Virabhadrasana I', '(Warrior Pose I) with your right foot forward.', 'Root down firmly with your right heel to lift your lower belly, drawing the abdominals in and up and releasing your tailbone down.', 'Firm your right outer hip into your midline as you straighten your left leg.', 'Energize your arms to draw more length into your side body.', 'Turn your left inner thigh toward the ceiling to roll your left outer hip forward, then pivot onto your back toes so your back leg is in a neutral position.', 'Inhale to lengthen your spine.', 'Exhale and tilt your torso forward, and reach your arms out ahead.', 'Shift your weight into your front foot, and move forward as you lift\xa0your left leg until it is parallel to the floor.', 'Your upper arms frame your ears, and your head, torso, pelvis, and lifted leg to\xa0form a straight line.', 'Continue to turn your left inner thigh to the ceiling so your leg remains neutral and your pelvis is level.', 'Continue to engage your right outer hip to provide stability for your standing leg.', 'Push back with your left heel while extending forward with your arms, the crown of your head, and your sternum.', 'Tone your lower belly, and direct your tailbone toward\xa0your left heel to provide support for your lower back.', 'Hold for 5–10 breaths, then carefully bend your right knee and step back with your left foot, returning to', 'Virabhadrasana I', '.', 'Exit, and repeat on the other side.']","['Photo: Andrew Clark; Clothing: Calia', 'Warrior III with blocks', 'For added stability, bring your hands to blocks at any height rather than the floor.', 'Photo: Andrew Clark; Clothing: Calia', 'Warrior III with hands against a wall', 'If balance is elusive, stand facing a wall as you come into Warrior III and place your palms on the wall, using it to help support you. Your leg may or may not be lifted high, and that is OK.', 'Photo: Andrew Clark; Clothing: Calia', 'Warrior III with a chair', 'Come into Warrior III facing a chair and rest your hands on the seat or the back of the chair as you lift one leg behind you.', 'Photo: Andrew Clark; Clothing: Calia', 'Warrior III with foot against a wall', 'Stand facing away from a wall as you come into Warrior III and place the bottom of your lifted foot on the wall. Press into your heel. Your leg may or may not be lifted high, and that is OK.', 'Section divider']",https://www.yogajournal.com/poses/warrior-iii-pose/,Virabhadrasana III,"['Balancing Yoga Poses', 'Standing Yoga Poses', 'Strengthening Yoga Poses']",['Hamstrings'],,
wide-legged standing forward bend,"['Build Prasarita Padottanasana (Wide-Legged Standing Forward Bend) on a steady foundation. Think of your feet as having four corners: your inner and outer heels, big toe mounds, and pinkie toe mounds. Press into all four corners while lift your inner and outer arches. This lift will travel upward, firming the entire length of your legs and grounding your feet into the earth. If you have', 'or hips, bend your knees slightly to ease the stretch so that you can keep your low back long and fold forward from your hip joints.', 'Because your head is brought lower than your heart, Wide-Legged Standing Forward Bend pose can serve as a substitute for Sirsasana (Headstand) for those with neck issues, says yoga teacher Richard Rosen, “Many benefits of inversions—especially bathing the poor old tired brain with freshly oxygenated blood to perk it up—accrue to Prasarita without any weight-bearing stress on the neck.”', 'Prasarita Padottanasana (', ')', '= stretched out, expanded, spread', '= foot', '= intense', '= to stretch or extend']",['Lower body'],"['There are four varied arm positions you can take within the pose, classically distinguished by letters of the alphabet:']","['Prep with hamstring openers, such as Uttanasana\xa0(Standing Forward Bend). Use this pose to open your shoulders and heart to prepare for any deep heart openers or arm balances.']","['Tadasana (Mountain Pose)', 'Utkatasana (Chair Pose)', 'Garudasana (Eagle Pose)', 'Baddha Konasana (Bound Angle Pose)', 'Balasana (Child’s Pose)']","['Prasaritta Padotanasana A', 'Place your hands on the mat beneath your shoulders with your fingertips in line with your toes. Bend your elbows and draw them toward one another as if you were in', 'Chaturanga Dandasana', '. Let your neck relax and the top of your head release toward the mat.', 'Prasaritta Padotanasana B', 'Keep your hands on your hips. Draw your elbows up.', 'Prasaritta Padotanasana C', 'Interlace your fingers behind your back in a bind and lift your knuckles toward the ceiling or reach your arms overhead and lift your knuckles toward the wall in front of you.', 'Prasaritta Padotanasana D', 'Use the first two fingers on each hand to wrap around your big toes as you would for', 'Padangusthasana (Big Toe Pose)', '. Bend your elbows and draw them toward one another as if you were in', 'Chaturanga Dandasana', '. Let your neck relax and the top of your head release toward the mat.']","['Photo: Andrew Clark; Clothing: Calia', 'Wide-Legged Forward Bend with hands on blocks', 'If your hamstrings are tight, place blocks in front of you to effectively lift the floor to you. Keep your legs active. Remember that yoga is about making skillful choices that allow you to maintain the alignment of the pose. It’s not about getting into the deepest possible iteration of the stretch.', 'Photo: Christopher Dougherty', 'Wide-Legged Forward Bend on a chair', 'If you find it challenging to fold forward with your hands to the mat or blocks, rest your hands or forearms on the seat of a chair. You can raise the height of the support to you by adding folded blankets or towels beneath your forearms.', 'Section divider']",https://www.yogajournal.com/poses/wide-legged-forward-bend/,Prasarita Padottanasana,"['Forward Bend Yoga Poses', 'Hip-Opening Yoga Poses', 'Standing Yoga Poses', 'Strengthening Yoga Poses']",['Hamstrings'],,
supported shoulderstand,['This version of Shoulderstand is performed with blanket support under the shoulders.'],[],"['Calms the brain and helps relieve stress and mild depression', 'Stimulates the thyroid and prostate glands and abdominal organs', 'Stretches the shoulders and neck', 'Tones the legs and buttocks', 'Improves digestion', 'Helps relieve the symptoms of menopause', 'Reduces fatigue and alleviates insomnia', 'Therapeutic for asthma, infertility, and sinusitis']","['Halasana', 'Setu Bandha Sarvangasana', 'Virasana']",[],"['Fold two or more firm blankets into rectangles measuring about 1 foot by 2 feet, and stack them one on top of the other. You can place a sticky mat over the blankets to help the upper arms stay in place while in the pose.', 'Lie on the blankets with your shoulders supported (and parallel to one of the longer edges) and your head on the floor. Lay your arms on the floor alongside your torso, then bend your knees and set your feet against the floor with the heels close to the sitting bones. Exhale, press your arms against the floor, and push your feet away from the floor, drawing your thighs into the front torso.', 'Continue to lift by curling the pelvis and then the back torso away from the floor, so that your knees come toward your face. Stretch your arms out parallel to the edge of the blanket and turn them outward so the fingers press against the floor (and the thumbs point behind you). Bend your elbows and draw them toward each other. Lay the backs of your upper arms on the blanket and spread your palms against the back of your torso.', 'Raise your pelvis over the shoulders, so that the torso is relatively perpendicular to the floor. Walk your hands up your back (toward the floor) without letting the elbows slide too much wider than shoulder width.', 'Inhale and lift your bent knees toward the ceiling, bringing your thighs in line with your torso and hanging the heels down by your buttocks. Press your tailbone toward your pubis and turn the upper thighs inward slightly. Finally inhale and straighten the knees, pressing the heels up toward the ceiling. When the backs of the legs are fully lengthened, lift through the balls of the big toes so the inner legs are slightly longer than the outer.', 'Soften the throat and tongue. Firm the shoulder blades against the back, and move the sternum toward the chin. Your forehead should be relatively parallel to the floor, your chin perpendicular. Press the backs of your upper arms and the tops of your shoulders actively into the blanket support, and try to lift the upper spine away from the floor. Gaze softly at your chest.', 'As a beginning practitioner stay in the pose for about 30 seconds. Gradually add 5 to 10 seconds to your stay every day or so until you can comfortably hold the pose for 3 minutes. Then continue for 3 minutes each day for a week or two, until you feel relatively comfortable in the pose. Again gradually and 5 to 10 seconds onto your stay every day or so until you can comfortably hold the pose for 5 minutes. To come down, exhale, bend your knees into your torso again, and roll your back torso slowly and carefully onto the floor, keeping the back of your head on the floor.']","['One of the simplest Sarvangasana variations is Eka Pada Sarvangasana (pronounced ACHE-ah PAH-dah,', 'eka', '= one,', 'pada', '= foot or leg). Come into the pose. Stabilize your left leg perpendicular to the floor, then exhale and lower your right leg parallel to the floor without disturbing the position of the left. The outer hip of the down leg (in this case, the right) tends to sink toward the floor. To correct this, turn the right leg outwardly, moving its sitting bone toward the left. Hold the two sitting bones close and rotate (from the hip joint only) the right leg back to neutral. Hold for 10 to 30 seconds, inhale the right leg back to perpendicular, and repeat on the left for the same length of time.']",https://www.yogajournal.com/poses/supported-shoulderstand/,Salamba Sarvangasana,"['Balancing Yoga Poses', 'Inversion Yoga Poses']","['Glutes', 'Lungs']",,[]
