exercise,relation,muscle
1/4 squat,TARGETS,quads
smith machine zercher squat,TARGETS,quads
landmine reverse lunge,TARGETS,quads
power jerk,TARGETS,quads
split squat with banded adduction,TARGETS,quads
seated reverse barbell wrist curl,TARGETS,forearms
seated reverse barbell wrist curl,TARGETS,wrist extensors
reverse grip preacher curl,TARGETS,brachioradialis
reverse grip preacher curl,TARGETS,forearms
one arm neutral dumbbell wrist curl over bench,TARGETS,forearms
overhead barbell carry,TARGETS,forearms
pit shark belt squat,TARGETS,quads
reverse lunge with lateral flexion,TARGETS,quads
seated neutral dumbbell wrist curl,TARGETS,forearms
ipsilateral load dumbbell front lunge,TARGETS,quads
seated dumbbell wrist curl,TARGETS,wrist flexors
seated dumbbell wrist curl,TARGETS,forearms
seated dumbbell wrist curl,TARGETS,wrist extensors
barbell suitcase carry,TARGETS,forearms
trap bar farmers carry,TARGETS,forearms
seated reverse dumbbell wrist curl,TARGETS,forearms
seated reverse dumbbell wrist curl,TARGETS,wrist extensors
one arm reverse dumbbell wrist curl over bench,TARGETS,forearms
trap bar overhead carry,TARGETS,forearms
dumbbell farmers carry,TARGETS,forearms
reverse concentration curl,TARGETS,forearms
reverse concentration curl,TARGETS,wrist extensors
kettlebell single arm racked carry,TARGETS,forearms
one arm seated reverse dumbbell wrist curl,TARGETS,forearms
one arm seated reverse dumbbell wrist curl,TARGETS,wrist extensors
2 kb kettlebell snatch,TARGETS,quads
double kettlebell front squat,TARGETS,quads
barbell reverse lunge,TARGETS,quads
barbell reverse lunge,TARGETS,glutes
exercise ball dip,TARGETS,triceps
45 degree lying tricep extension (ez bar),TARGETS,triceps
3 month position kettlebell pullover,TARGETS,abs
lying pallof press,TARGETS,abs
lying cable crunch,TARGETS,obliques
lying cable crunch,TARGETS,abs
lying cable crunch,TARGETS,rectus abdominis
lying knee tuck to heel raise,TARGETS,abs
overhead tricep extension sled drag,TARGETS,triceps
medicine ball dead bug,TARGETS,abs
pallof press with rotation,TARGETS,abs
floor barbell twist,TARGETS,abs
high pulley overhead tricep extension,TARGETS,triceps
exercise ball french press,TARGETS,triceps
alternate lying dumbbell extension,TARGETS,triceps
close grip press behind the neck,TARGETS,triceps
banded skullcrusher,TARGETS,triceps
dumbbell tate press,TARGETS,triceps
decline bench cable crunch,TARGETS,abs
reverse grip french press,TARGETS,triceps
seated low pulley overhead tricep extension (rope extension),TARGETS,triceps
one-arm seated bent-over dumbbell kickback,TARGETS,triceps
two arm cable tricep kickback,TARGETS,triceps
banded alphabet,TARGETS,abs
one-arm seated overhead tricep extension,TARGETS,triceps
decline lying dumbbell extension,TARGETS,triceps
seated ez bar french press,TARGETS,triceps
incline dumbbell tricep extension,TARGETS,triceps
reverse grip one-arm seated overhead tricep extension,TARGETS,triceps
close grip ez bar press,TARGETS,triceps
alternating dumbbell floor press,TARGETS,triceps
kettlebell floor press,TARGETS,triceps
overhead banded tricep extension,TARGETS,triceps
three bench dip,TARGETS,triceps
seated low pulley overhead tricep extension,TARGETS,triceps
cable concentration tricep extension,TARGETS,triceps
seated bent over tricep dumbbell kickback,TARGETS,triceps
twisting floor crunch,TARGETS,abs
twisting floor crunch,TARGETS,rectus abdominis
twisting cable crunch,TARGETS,obliques
twisting cable crunch,TARGETS,abs
twisting cable crunch,TARGETS,rectus abdominis
decline close grip bench press,TARGETS,triceps
one-arm standing overhead cable tricep extension,TARGETS,triceps
alternate seated bent-over dumbbell kickback,TARGETS,triceps
smith machine close grip bench press,TARGETS,triceps
alternate bent-over dumbbell kickback,TARGETS,triceps
standing overhead ez bar tricep extension,TARGETS,triceps
smith machine reverse close grip bench press,TARGETS,triceps
lying on floor tricep extension (rope extension),TARGETS,triceps
lying barbell reverse extension,TARGETS,triceps
close grip chest press,TARGETS,triceps
lying single dumbbell extension,TARGETS,triceps
weighted bench dip,TARGETS,triceps
rolling dumbbell extension,TARGETS,triceps
kneeling overhead tricep extension over flat bench,TARGETS,triceps
smith machine incline tricep extension,TARGETS,triceps
upper body band resistance dead bug,TARGETS,abs
ring dip,TARGETS,triceps
kettlebell windmill,TARGETS,abs
reverse grip cable tricep kickback,TARGETS,triceps
california skullcrusher,TARGETS,triceps
exercise ball one-arm dumbbell extension,TARGETS,triceps
exercise ball plank,TARGETS,abs
exercise ball leg tuck,TARGETS,abs
decline bench alternate knee raise,TARGETS,abs
exercise ball dead bug,TARGETS,abs
standing push-pull,TARGETS,abs
decline lying tricep extension (skullcrusher),TARGETS,triceps
decline cable knee raise,TARGETS,abs
frog sit up,TARGETS,obliques
frog sit up,TARGETS,abs
frog sit up,TARGETS,rectus abdominis
twisting decline sit up,TARGETS,obliques
twisting decline sit up,TARGETS,abs
twisting decline sit up,TARGETS,rectus abdominis
alternate straight leg lower,TARGETS,abs
sphinx push up,TARGETS,triceps
seated dumbbell side bends,TARGETS,obliques
seated dumbbell side bends,TARGETS,abs
triceps lacrosse ball,TARGETS,triceps
medicine ball rollouts,TARGETS,obliques
medicine ball rollouts,TARGETS,abs
medicine ball rollouts,TARGETS,rectus abdominis
exercise ball two-arm dumbbell extension,TARGETS,triceps
wall press straight leg extension,TARGETS,obliques
wall press straight leg extension,TARGETS,abs
close grip pin press,TARGETS,triceps
exercise ball hip roll,TARGETS,abs
shoulder taps,TARGETS,abs
dead bug with plates,TARGETS,abs
seated barbell twist,TARGETS,obliques
seated barbell twist,TARGETS,abs
reverse grip one-arm standing overhead cable tricep extension,TARGETS,triceps
twisting bench crunch,TARGETS,obliques
twisting bench crunch,TARGETS,abs
twisting bench crunch,TARGETS,rectus abdominis
twisting dumbbell bench press,TARGETS,triceps
standing two-arm tricep cable extension,TARGETS,triceps
lying alternate knee raise,TARGETS,abs
wall press 90/90 extension,TARGETS,abs
wall press heel tap,TARGETS,abs
inline bench french press,TARGETS,triceps
weighted side touches,TARGETS,abs
lying bench leg raise,TARGETS,abs
lying bench leg raise,TARGETS,rectus abdominis
alternate reach and catch,TARGETS,abs
kettlebell dead bug,TARGETS,abs
abdominal pendulum,TARGETS,abs
lower body band resistance dead bug,TARGETS,abs
lying cable knee raise,TARGETS,abs
lying cable knee raise,TARGETS,rectus abdominis
hands overhead ab crunch,TARGETS,abs
hands overhead ab crunch,TARGETS,rectus abdominis
reverse one-arm cable tricep extension,TARGETS,triceps
reach and catch,TARGETS,abs
eccentric only dip,TARGETS,triceps
offset single kettlebell front squat,TARGETS,quads
narrow squat,TARGETS,quads
one-arm seated dumbbell kickback,TARGETS,triceps
incline cable tricep extension (rope extension),TARGETS,triceps
lateral raise partials,TARGETS,lateral deltoid
lateral raise partials,TARGETS,posterior deltoid
lateral raise partials,TARGETS,shoulders
safety bar squat,TARGETS,quads
safety bar squat,TARGETS,glutes
weighted exercise ball wall squat,TARGETS,quads
dumbbell goblet split squat,TARGETS,quads
dumbbell goblet split squat,TARGETS,glutes
one-arm lying dumbbell extension,TARGETS,triceps
reverse lunge elbow to instep with rotation,TARGETS,quads
reverse grip skull crusher,TARGETS,triceps
one leg hack squat,TARGETS,quads
one leg hack squat,TARGETS,glutes
lying dumbbell curl,TARGETS,biceps
lying dumbbell curl,TARGETS,brachialis
exercise ball dumbbell kickbacks,TARGETS,triceps
squatting cable curl,TARGETS,biceps
squatting cable curl,TARGETS,brachialis
clean,TARGETS,quads
alternate seated arnold press,TARGETS,shoulders
z press,TARGETS,shoulders
rotational medicine ball throw,TARGETS,shoulders
exercise ball barbell press,TARGETS,shoulders
lying rear delt barbell raise,TARGETS,posterior deltoid
lying rear delt barbell raise,TARGETS,shoulders
tall kneeling one arm bottoms up kettlebell press,TARGETS,shoulders
one arm seated arnold press,TARGETS,lateral deltoid
one arm seated arnold press,TARGETS,shoulders
half kneeling landmine press,TARGETS,shoulders
one arm seated palms in dumbbell press,TARGETS,shoulders
half kneeling battling rope,TARGETS,shoulders
one arm lying dumbbell reverse fly,TARGETS,posterior deltoid
one arm lying dumbbell reverse fly,TARGETS,shoulders
half kneeling bottoms up kettlebell press,TARGETS,shoulders
one arm standing arnold press,TARGETS,posterior deltoid
one arm standing arnold press,TARGETS,shoulders
alternating waves with kneeling get ups battling ropes,TARGETS,shoulders
alternate lying dumbbell reverse fly,TARGETS,shoulders
alternate dumbbell lateral raise,TARGETS,lateral deltoid
alternate dumbbell lateral raise,TARGETS,posterior deltoid
alternate dumbbell lateral raise,TARGETS,shoulders
arm circles,TARGETS,shoulders
alternate seated palms in dumbbell press,TARGETS,shoulders
seated alternate dumbbell lateral raise,TARGETS,lateral deltoid
seated alternate dumbbell lateral raise,TARGETS,posterior deltoid
seated alternate dumbbell lateral raise,TARGETS,shoulders
banded bent over reverse fly,TARGETS,shoulders
one arm standing dumbbell press,TARGETS,lateral deltoid
one arm standing dumbbell press,TARGETS,posterior deltoid
one arm standing dumbbell press,TARGETS,shoulders
alternate standing dumbbell front raise,TARGETS,shoulders
one arm bent over dumbbell reverse fly,TARGETS,shoulders
banded lateral raise,TARGETS,lateral deltoid
banded lateral raise,TARGETS,posterior deltoid
banded lateral raise,TARGETS,shoulders
rotational medicine ball step behind shot put,TARGETS,shoulders
one arm cable reverse fly,TARGETS,posterior deltoid
one arm cable reverse fly,TARGETS,shoulders
shuffle into rotational medicine ball throw,TARGETS,shoulders
lying dumbbell reverse fly,TARGETS,posterior deltoid
lying dumbbell reverse fly,TARGETS,shoulders
reverse flys on rings,TARGETS,posterior deltoid
reverse flys on rings,TARGETS,shoulders
alternate seated dumbbell front raise,TARGETS,lateral deltoid
alternate seated dumbbell front raise,TARGETS,posterior deltoid
alternate seated dumbbell front raise,TARGETS,shoulders
cable preacher curl,TARGETS,biceps
cable preacher curl,TARGETS,brachialis
lying barbell curl on incline bench,TARGETS,biceps
lying barbell curl on incline bench,TARGETS,brachialis
prone incline dumbbell curl,TARGETS,biceps
prone incline dumbbell curl,TARGETS,brachialis
lying shoulder press,TARGETS,shoulders
reverse fly sled drag,TARGETS,shoulders
exercise ball dumbbell curl,TARGETS,biceps
rope cable preacher curl,TARGETS,biceps
rope cable preacher curl,TARGETS,brachialis
alternating big waves battling ropes,TARGETS,shoulders
standing one arm bottoms up kettlebell press,TARGETS,shoulders
incline bench hammer curl,TARGETS,biceps
incline bench hammer curl,TARGETS,brachialis
seated hammer curl,TARGETS,biceps
one arm standing dumbbell front raise,TARGETS,lateral deltoid
one arm standing dumbbell front raise,TARGETS,shoulders
standing one arm kettlebell press,TARGETS,posterior deltoid
standing one arm kettlebell press,TARGETS,shoulders
alternating standing kettlebell press,TARGETS,shoulders
knee to elbow dumbbell external rotation,TARGETS,shoulders
alternating small waves battling ropes,TARGETS,shoulders
rotational medicine ball scoop toss facing wall,TARGETS,shoulders
band resistance single arm standing landmine press,TARGETS,shoulders
lying cable front raise,TARGETS,shoulders
standing kettlebell press,TARGETS,shoulders
close grip standing barbell curl,TARGETS,biceps
one arm prone hammer dumbbell curl,TARGETS,biceps
barbell drag curl,TARGETS,biceps
barbell drag curl,TARGETS,brachialis
one-arm prone incline dumbbell curl,TARGETS,biceps
one arm dumbbell preacher curl,TARGETS,biceps
one arm dumbbell preacher curl,TARGETS,brachialis
double wave battling rope,TARGETS,shoulders
tall kneeling one arm kettlebell press,TARGETS,shoulders
alternate dumbbell hammer preacher curl,TARGETS,biceps
lying high pulley close grip cable curl,TARGETS,biceps
alternate incline dumbbell curl,TARGETS,biceps
alternate incline dumbbell curl,TARGETS,brachialis
cable concentration curl,TARGETS,biceps
cable concentration curl,TARGETS,brachialis
lying wide dumbbell curl,TARGETS,biceps
one arm seated hammer curl,TARGETS,biceps
one arm seated hammer curl,TARGETS,brachialis
wide grip ez bar curl,TARGETS,biceps
seated dumbbell front raise,TARGETS,lateral deltoid
seated dumbbell front raise,TARGETS,posterior deltoid
seated dumbbell front raise,TARGETS,shoulders
two arm low pulley cable curl,TARGETS,biceps
serrano press,TARGETS,shoulders
standing banded face pull to chest,TARGETS,shoulders
seated kettlebell press,TARGETS,shoulders
seated bradford press (aka seated rocky press),TARGETS,shoulders
rotational med ball shot put,TARGETS,shoulders
alternate dumbbell reverse fly on incline bench,TARGETS,shoulders
standing palms in dumbbell press,TARGETS,shoulders
"standing external rotation (""no money drill"")",TARGETS,shoulders
lying cable curl (floor),TARGETS,biceps
incline bench dumbbell curl,TARGETS,biceps
incline bench dumbbell curl,TARGETS,brachialis
bicep curl sled drag,TARGETS,biceps
supinated 90 degree band pull apart,TARGETS,shoulders
bus drivers,TARGETS,shoulders
alternate seated hammer curl,TARGETS,biceps
trap bar shoulder press,TARGETS,shoulders
jumping jacks battling ropes,TARGETS,shoulders
smith machine shoulder press behind neck,TARGETS,shoulders
one arm seated dumbbell press,TARGETS,lateral deltoid
one arm seated dumbbell press,TARGETS,shoulders
alternate standing dumbbell press,TARGETS,shoulders
standing dublin press,TARGETS,shoulders
half kneeling banded external rotation,TARGETS,shoulders
scapular wall slide,TARGETS,shoulders
half kneeling kettlebell press,TARGETS,shoulders
lying single arm trap raise,TARGETS,posterior deltoid
lying single arm trap raise,TARGETS,shoulders
banded shoulder dislocates,TARGETS,shoulders
exercise ball dumbbell press,TARGETS,shoulders
power slam battling rope,TARGETS,shoulders
3-d band pull apart,TARGETS,shoulders
clean press,TARGETS,shoulders
reverse lunge with alternating waves battling ropes,TARGETS,shoulders
bent over rear delt fly (head on bench),TARGETS,shoulders
cable face pull with external rotation,TARGETS,shoulders
standing bradford press (rocky press),TARGETS,shoulders
face pulls on rings,TARGETS,shoulders
half kneeling dumbbell press,TARGETS,shoulders
banded upright row,TARGETS,lateral deltoid
banded upright row,TARGETS,shoulders
anti-gravity press,TARGETS,shoulders
seated cuban press,TARGETS,shoulders
pronated 90 degree band pull apart,TARGETS,shoulders
back to wall alternating shoulder flexion,TARGETS,shoulders
seated barbell front raise,TARGETS,shoulders
no counter movement rotational medicine ball throw,TARGETS,shoulders
step behind rotational medicine ball throw,TARGETS,shoulders
landmine thruster,TARGETS,shoulders
shoulder to shoulder press,TARGETS,shoulders
barbell overhead front raise,TARGETS,shoulders
one arm seated dumbbell front raise,TARGETS,lateral deltoid
one arm seated dumbbell front raise,TARGETS,posterior deltoid
one arm seated dumbbell front raise,TARGETS,shoulders
cable external rotation,TARGETS,shoulders
dumbbell 6 ways (raise),TARGETS,shoulders
lunge jump with alternating waves battling ropes,TARGETS,shoulders
exercise ball lateral raise,TARGETS,shoulders
forearm wall slide,TARGETS,shoulders
one arm dumbbell front raise on incline bench,TARGETS,shoulders
bench supported dumbbell external rotation,TARGETS,shoulders
lateral slam battling rope,TARGETS,shoulders
double arm circles battling ropes,TARGETS,shoulders
kettlebell halo,TARGETS,shoulders
alternate seated bent over dumbbell reverse fly,TARGETS,shoulders
one arm dumbbell rear delt fly on incline bench,TARGETS,shoulders
one arm seated bent over dumbbell reverse fly,TARGETS,shoulders
back to wall shoulder flexion,TARGETS,shoulders
single arm banded external rotation,TARGETS,shoulders
rotational medicine ball shuffle into shot put,TARGETS,shoulders
kettlebell arm bar,TARGETS,shoulders
side lying rear delt fly,TARGETS,posterior deltoid
side lying rear delt fly,TARGETS,shoulders
one arm cable front raise,TARGETS,lateral deltoid
one arm cable front raise,TARGETS,posterior deltoid
one arm cable front raise,TARGETS,shoulders
kettlebell angled press,TARGETS,shoulders
ipsilateral load split squat,TARGETS,quads
ipsilateral load split squat,TARGETS,glutes
seated one arm dumbbell lateral raise,TARGETS,lateral deltoid
seated one arm dumbbell lateral raise,TARGETS,posterior deltoid
seated one arm dumbbell lateral raise,TARGETS,shoulders
one arm standing palms in dumbbell press,TARGETS,shoulders
modified handstand push up (off box),TARGETS,shoulders
seated high barbell front raise,TARGETS,shoulders
one arm dumbbell wrist curl over bench,TARGETS,forearms
barbell side split squat,TARGETS,quads
barbell side split squat,TARGETS,glutes
russian twist,TARGETS,obliques
russian twist,TARGETS,abs
seated leg tucks,TARGETS,abs
reverse band box squat,TARGETS,quads
plate pinch carry,TARGETS,forearms
kettlebell single arm bottoms up carry,TARGETS,forearms
band resisted box squat,TARGETS,quads
1/2 squat,TARGETS,quads
snatch balance,TARGETS,quads
barbell step ups,TARGETS,quads
barbell step ups,TARGETS,glutes
half kneeling pvc pec mobilization,TARGETS,chest
lateral hand walk push up,TARGETS,chest
hammer bar preacher curl,TARGETS,biceps
hammer bar preacher curl,TARGETS,brachialis
standing low-pulley overhead tricep extension,TARGETS,triceps
band assisted dip,TARGETS,triceps
dumbbell hammer preacher curl,TARGETS,biceps
dumbbell hammer preacher curl,TARGETS,brachialis
one arm bottoms up kettlebell floor press,TARGETS,triceps
exercise ball dumbbell bench press,TARGETS,chest
wide grip cable curl,TARGETS,biceps
dumbbell split jump,TARGETS,quads
dumbbell split jump,TARGETS,glutes
front barbell step up,TARGETS,quads
front barbell step up,TARGETS,glutes
standing banded face pull,TARGETS,shoulders
prone incline hammer curl,TARGETS,biceps
prone incline hammer curl,TARGETS,brachialis
seated neutral grip dumbbell press,TARGETS,shoulders
walking quad stretch to overhead lunge,TARGETS,quads
dumbbell reverse fly on incline bench,TARGETS,shoulders
dumbbell twist fly,TARGETS,chest
rocking standing calf raise,TARGETS,tibialis anterior
rocking standing calf raise,TARGETS,calves
rocking standing calf raise,TARGETS,gastrocnemius
ring push up,TARGETS,pectoralis major-sternal
ring push up,TARGETS,anterior deltoid
ring push up,TARGETS,chest
ring push up,TARGETS,pectoralis major-clavicular
cross body arm swings,TARGETS,chest
alternating dumbbell bench press on exercise ball,TARGETS,chest
resistance banded dumbbell bench press,TARGETS,pectoralis major-sternal
resistance banded dumbbell bench press,TARGETS,chest
resistance banded dumbbell bench press,TARGETS,pectoralis major-clavicular
split stance pallof press,TARGETS,abs
2 board bench press,TARGETS,chest
eccentric only incline push up,TARGETS,pectoralis major-sternal
eccentric only incline push up,TARGETS,chest
eccentric only incline push up,TARGETS,pectoralis major-clavicular
smith machine bench press,TARGETS,pectoralis major-sternal
smith machine bench press,TARGETS,chest
smith machine bench press,TARGETS,pectoralis major-clavicular
self-assisted straight bar dip,TARGETS,chest
muscle up,TARGETS,chest
decline dumbbell twist fly,TARGETS,chest
decline dumbbell twist fly,TARGETS,pectoralis major-sternal
push up jacks,TARGETS,anterior deltoid
push up jacks,TARGETS,chest
push up jacks,TARGETS,pectoralis major-sternal
t-push up,TARGETS,chest
wide grip barbell bench press,TARGETS,chest
wide grip barbell bench press,TARGETS,pectoralis major-clavicular
fingertip push ups,TARGETS,chest
alternating incline dumbbell fly,TARGETS,anterior deltoid
alternating incline dumbbell fly,TARGETS,chest
alternating incline dumbbell fly,TARGETS,pectoralis major-clavicular
valslide push up,TARGETS,pectoralis major-clavicular
valslide push up,TARGETS,chest
valslide push up,TARGETS,serratus anterior
valslide push up,TARGETS,anterior deltoid
valslide push up,TARGETS,pectoralis major-sternal
yoga push up,TARGETS,pectoralis major-sternal
yoga push up,TARGETS,anterior deltoid
yoga push up,TARGETS,chest
yoga push up,TARGETS,pectoralis major-clavicular
exercise ball push up,TARGETS,chest
exercise ball push up,TARGETS,pectoralis major-clavicular
3 board bench press,TARGETS,chest
shoulder tap push up,TARGETS,chest
bench press against chains,TARGETS,chest
bench press against chains,TARGETS,pectoralis major-sternal
push up with knee drive,TARGETS,chest
bench push-up,TARGETS,pectoralis major-clavicular
bench push-up,TARGETS,chest
bench push-up,TARGETS,serratus anterior
bench push-up,TARGETS,anterior deltoid
bench push-up,TARGETS,pectoralis major-sternal
standing medicine ball chest throw,TARGETS,chest
alternating dumbbell bench press (low start),TARGETS,chest
wide grip incline push up,TARGETS,chest
one arm medicine ball push up,TARGETS,pectoralis major-sternal
one arm medicine ball push up,TARGETS,serratus anterior
one arm medicine ball push up,TARGETS,chest
one arm medicine ball push up,TARGETS,pectoralis major-clavicular
reverse grip dumbbell squeeze press,TARGETS,chest
one-leg hack squat calf raise,TARGETS,tibialis anterior
one-leg hack squat calf raise,TARGETS,calves
one-leg hack squat calf raise,TARGETS,gastrocnemius
smith machine seated calf raise,TARGETS,tibialis anterior
smith machine seated calf raise,TARGETS,soleus
smith machine seated calf raise,TARGETS,calves
smith machine seated calf raise,TARGETS,gastrocnemius
anterior calf tiger tail,TARGETS,calves
double jump jump rope,TARGETS,calves
hack squat calf raise,TARGETS,tibialis anterior
hack squat calf raise,TARGETS,calves
hack squat calf raise,TARGETS,gastrocnemius
one-leg smith machine seated calf raise,TARGETS,tibialis anterior
one-leg smith machine seated calf raise,TARGETS,calves
one-leg smith machine seated calf raise,TARGETS,gastrocnemius
chain fly,TARGETS,chest
chain fly,TARGETS,pectoralis major-sternal
standing pvc pec mobilization,TARGETS,chest
45 degree calf raise (toes out),TARGETS,tibialis anterior
45 degree calf raise (toes out),TARGETS,calves
rocking gastrocnemius emphasis ankle mobilization,TARGETS,calves
one-leg seated calf raise,TARGETS,tibialis anterior
one-leg seated calf raise,TARGETS,calves
one-leg seated calf raise,TARGETS,gastrocnemius
peroneal tiger tail,TARGETS,calves
reverse grip bench press,TARGETS,chest
reverse grip bench press,TARGETS,pectoralis major-clavicular
pec foam rolling,TARGETS,chest
push up with mountain climber,TARGETS,chest
front to back jump rope,TARGETS,calves
cable inner chest press,TARGETS,pectoralis major-sternal
cable inner chest press,TARGETS,chest
cable inner chest press,TARGETS,pectoralis major-clavicular
one-arm dumbbell bench press,TARGETS,chest
one arm bottoms up kettlebell bench press,TARGETS,chest
alternating reach push up,TARGETS,chest
lying cable pullover (rope extension),TARGETS,chest
pec lacrosse ball,TARGETS,chest
band suspended kettlebell bench press,TARGETS,chest
alternating decline dumbbell fly,TARGETS,chest
alternating decline dumbbell fly,TARGETS,pectoralis major-sternal
alternating dumbbell fly,TARGETS,anterior deltoid
alternating dumbbell fly,TARGETS,chest
reverse grip incline push up,TARGETS,chest
exercise ball cable fly,TARGETS,chest
push up (feet on swiss ball),TARGETS,chest
push up (feet on swiss ball),TARGETS,pectoralis major-clavicular
paused push up,TARGETS,pectoralis major-clavicular
paused push up,TARGETS,chest
paused push up,TARGETS,serratus anterior
paused push up,TARGETS,anterior deltoid
paused push up,TARGETS,pectoralis major-sternal
sled press,TARGETS,anterior deltoid
sled press,TARGETS,chest
half kneeling medicine ball chest pass,TARGETS,chest
wide grip reverse bench press,TARGETS,pectoralis major-sternal
wide grip reverse bench press,TARGETS,chest
wide grip reverse bench press,TARGETS,pectoralis major-clavicular
smith machine wide grip bench press,TARGETS,chest
alternating medicine ball push up,TARGETS,chest
alternating medicine ball push up,TARGETS,pectoralis major-clavicular
knee push-up,TARGETS,pectoralis major-sternal
knee push-up,TARGETS,anterior deltoid
knee push-up,TARGETS,chest
knee push-up,TARGETS,pectoralis major-clavicular
push up to side plank,TARGETS,chest
incline dumbbell twist fly,TARGETS,chest
incline dumbbell twist fly,TARGETS,pectoralis major-clavicular
barbell pullover and press,TARGETS,chest
floor press,TARGETS,chest
floor press,TARGETS,pectoralis major-sternal
single leg medicine ball chest pass wall tap,TARGETS,chest
flat bench cable flys,TARGETS,chest
eccentric only push up,TARGETS,pectoralis major-sternal
eccentric only push up,TARGETS,chest
eccentric only push up,TARGETS,pectoralis major-clavicular
neutral grip incline dumbbell bench press,TARGETS,chest
neutral grip incline dumbbell bench press,TARGETS,pectoralis major-clavicular
exercise ball dumbbell fly,TARGETS,chest
rack pec stretch,TARGETS,chest
decline cable chest press,TARGETS,pectoralis major-sternal
decline cable chest press,TARGETS,chest
decline cable chest press,TARGETS,pectoralis major-clavicular
reverse grip incline bench press,TARGETS,chest
reverse grip incline bench press,TARGETS,pectoralis major-clavicular
knuckle push up,TARGETS,pectoralis major-sternal
knuckle push up,TARGETS,anterior deltoid
knuckle push up,TARGETS,chest
knuckle push up,TARGETS,pectoralis major-clavicular
dumbbell bench press rotational grip,TARGETS,chest
bosu ball push up,TARGETS,chest
